Tue, Mar 04, 2025
3:26:28 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
129.6700000	-4596.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042578	0.0050547	0.0104128	0.0090305	-0.0042471	-0.0056660	-0.0114668	-0.0096010
131.0950000	-30.1599998	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031749	0.0034738	0.0001546	-0.0007810	-0.0031978	-0.0040388	-0.0011354	0.0001914
132.3550000	4582.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045077	0.0047890	-0.0097351	-0.0112420	-0.0045009	-0.0053312	0.0087567	0.0106275
133.9650000	-4594.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045196	0.0053789	0.0105050	0.0090165	-0.0045274	-0.0059938	-0.0115562	-0.0095853
135.2500000	-30.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034036	0.0037452	0.0001953	-0.0008199	-0.0034301	-0.0043163	-0.0011784	0.0002402
136.5350000	4581.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047737	0.0051112	-0.0097180	-0.0113232	-0.0047759	-0.0056575	0.0087482	0.0107213
138.2450000	-4595.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0048000	0.0057236	0.0106077	0.0090079	-0.0048076	-0.0063274	-0.0116419	-0.0095627
139.6850000	-30.2900009	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0036565	0.0040490	0.0002502	-0.0008613	-0.0036880	-0.0046176	-0.0012188	0.0002973
141.0750000	4581.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050729	0.0054712	-0.0096985	-0.0114237	-0.0050868	-0.0060233	0.0087314	0.0108294
142.6300000	-4592.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050939	0.0060799	0.0107081	0.0089962	-0.0051175	-0.0066905	-0.0117375	-0.0095407
143.9400000	-30.1299992	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039107	0.0043601	0.0003047	-0.0009095	-0.0039524	-0.0049323	-0.0012689	0.0003453
145.3600000	4580.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0053711	0.0058274	-0.0096796	-0.0115183	-0.0053974	-0.0063807	0.0087174	0.0109383
146.9300000	-4592.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0053933	0.0064459	0.0108164	0.0089810	-0.0054250	-0.0070555	-0.0118377	-0.0095242
148.2100000	-30.2399998	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0041912	0.0046894	0.0003598	-0.0009571	-0.0042295	-0.0052613	-0.0013208	0.0004015
149.6400000	4579.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0056775	0.0061989	-0.0096584	-0.0116156	-0.0057142	-0.0067549	0.0087048	0.0110475
151.2150000	-4592.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0057075	0.0068312	0.0109320	0.0089748	-0.0057420	-0.0074284	-0.0119334	-0.0095041
152.6400000	-29.9599991	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0044817	0.0050465	0.0004228	-0.0010092	-0.0045303	-0.0056154	-0.0013768	0.0004574
153.9250000	4578.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0060012	0.0065813	-0.0096433	-0.0117245	-0.0060438	-0.0071386	0.0086987	0.0111593
155.6350000	-4592.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0060383	0.0072337	0.0110546	0.0089566	-0.0060868	-0.0078287	-0.0120368	-0.0094915
156.9450000	-29.9300003	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047791	0.0054060	0.0004889	-0.0010674	-0.0048357	-0.0059603	-0.0014195	0.0005165
158.2500000	4578.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0063212	0.0069762	-0.0096151	-0.0118424	-0.0063803	-0.0075225	0.0087016	0.0112640
159.9550000	-4590.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0063488	0.0076343	0.0111852	0.0089316	-0.0064271	-0.0082165	-0.0121278	-0.0094882
161.2650000	-30.1499996	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050562	0.0057637	0.0005666	-0.0011358	-0.0051552	-0.0063141	-0.0014503	0.0005630
162.6550000	4577.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0066337	0.0073835	-0.0095697	-0.0119621	-0.0067336	-0.0079136	0.0087171	0.0113727
164.2450000	-4590.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0066516	0.0080356	0.0113382	0.0089093	-0.0067795	-0.0086034	-0.0122105	-0.0094865
165.6500000	-30.0599995	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0053436	0.0061452	0.0006608	-0.0012020	-0.0054928	-0.0066864	-0.0014824	0.0006142
166.9700000	4577.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0069426	0.0077845	-0.0095220	-0.0120841	-0.0071004	-0.0083054	0.0087419	0.0114956
168.6500000	-4590.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0069700	0.0084564	0.0114921	0.0089021	-0.0071659	-0.0090214	-0.0122976	-0.0094663
169.9700000	-30.0300007	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0056334	0.0065252	0.0007601	-0.0012453	-0.0058521	-0.0070736	-0.0015087	0.0006945
171.3750000	4576.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0072616	0.0082004	-0.0094852	-0.0121888	-0.0075075	-0.0087492	0.0087565	0.0116483
172.9350000	-4589.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0072880	0.0088750	0.0116545	0.0089279	-0.0075591	-0.0094626	-0.0123982	-0.0094274
174.2400000	-30.0499992	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0059343	0.0069192	0.0008435	-0.0012858	-0.0062261	-0.0074936	-0.0015585	0.0007849
175.6450000	4576.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0076063	0.0086323	-0.0094597	-0.0123029	-0.0078971	-0.0091956	0.0087641	0.0117997
