Fri, Mar 07, 2025
3:00:41 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
150.0800000	4588.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0428964	0.0484618	-0.0694105	-0.0853815	-0.0431721	-0.0493332	0.0683088	0.0847801
151.6750000	-4603.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0431130	0.0534145	0.0852205	0.0689330	-0.0434030	-0.0543355	-0.0864144	-0.0695640
153.0050000	-30.0699997	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0338722	0.0398033	0.0062187	-0.0058702	-0.0341521	-0.0406495	-0.0073258	0.0052498
154.2950000	4589.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0452786	0.0512905	-0.0692874	-0.0861775	-0.0455716	-0.0521600	0.0682073	0.0855883
155.9450000	-4602.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0455161	0.0563130	0.0860476	0.0688209	-0.0458264	-0.0572240	-0.0872156	-0.0694455
157.2750000	-30.1700001	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0360623	0.0424195	0.0066570	-0.0062828	-0.0363576	-0.0432621	-0.0077406	0.0056616
158.5750000	4587.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0476741	0.0541470	-0.0691709	-0.0870014	-0.0479896	-0.0550142	0.0681239	0.0864086
160.3300000	-4601.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0479611	0.0592689	0.0869109	0.0687011	-0.0483049	-0.0601668	-0.0880334	-0.0693529
161.7650000	-30.0499992	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0383728	0.0452101	0.0071297	-0.0067457	-0.0387214	-0.0460463	-0.0081640	0.0060924
163.0750000	4587.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0502003	0.0571769	-0.0690362	-0.0878977	-0.0505668	-0.0580309	0.0680507	0.0872773
164.8000000	-4601.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0504843	0.0623377	0.0878335	0.0685884	-0.0508811	-0.0632249	-0.0888836	-0.0692555
166.2250000	-29.9300003	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0407317	0.0480596	0.0076184	-0.0072025	-0.0411378	-0.0488939	-0.0085927	0.0065512
167.5050000	4587.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0527717	0.0602727	-0.0689075	-0.0888128	-0.0532104	-0.0611357	0.0679873	0.0882015
169.1200000	-4601.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0529983	0.0654063	0.0887699	0.0685106	-0.0534818	-0.0663130	-0.0897632	-0.0691397
170.5500000	-29.8700008	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0431137	0.0509435	0.0081257	-0.0076443	-0.0436150	-0.0518135	-0.0090400	0.0070533
171.8550000	4586.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0553724	0.0633981	-0.0687933	-0.0897200	-0.0559151	-0.0643168	0.0679222	0.0891944
173.5550000	-4601.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0557283	0.0687393	0.0898023	0.0684494	-0.0563273	-0.0697025	-0.0907435	-0.0690197
174.8700000	-29.8999996	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0456670	0.0540141	0.0086487	-0.0081230	-0.0462354	-0.0549237	-0.0095275	0.0075701
176.2350000	4586.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0581961	0.0667834	-0.0686939	-0.0907379	-0.0587961	-0.0677199	0.0678527	0.0902364
177.8650000	-4599.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0585464	0.0721379	0.0908332	0.0683668	-0.0591651	-0.0731042	-0.0917621	-0.0689325
179.2050000	-29.9799995	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0483727	0.0572557	0.0091896	-0.0086454	-0.0489559	-0.0581676	-0.0100488	0.0081011
180.5950000	4586.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0611018	0.0702425	-0.0686117	-0.0918036	-0.0617037	-0.0711719	0.0677881	0.0913062
182.2850000	-4600.0000000	0.0000750	0.0000750	0.0000750	0.0000750	-0.0000750	-0.0000750	-0.0000750	-0.0000750	0.0615360	0.0757431	0.0919438	0.0682866	-0.0621562	-0.0766997	-0.0928568	-0.0688584
